Street Name	Record Count	Years	Amendment	Notes
Brynglas Close	62	1971		
Brynglas Crescent	155	1902; 1903; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Brynglas Drive	178	1971	Brynglas Drive	
Brynglas Orescent	9	1905		
Brynglas Road	1116	1897; 1899; 1902; 1903; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bryngwyn Road	656	1893; 1897; 1899; 1902; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Bryngwyn-road	7	1910		
Brynhfryd Av	29	1971		
Brynhfryd Avenue	28	1927		
Brynhfryd Road	6	1927		
Brynhyfryd Avenue	141	1933; 1936; 1938; 1946; 1950		
Brynhyfryd Road	264	1902; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Buchan Close	34	1971	Buchan Close	
Buckingham Crescent	108	1927; 1933; 1936; 1938; 1946; 1950; 1971		
Buckingham Place	59	1933; 1936; 1938; 1946; 1950; 1971		
Bungalows	36	1927; 1933		
Burleigh Road	49	1903; 1971	Burleigh Road	
Burnford Road	26	1950		
Burnfort Road	86	1936; 1938; 1946; 1971		
Burnicle Studios	84	1971		Investigate
Burns Close	11	1950		
Burton Homes	2	1971	Burton Homes	
Burton Road	81	1946; 1950; 1971		
Byrde Close	9	1950		
Caddock Street	1	1946		
Cae Brynton Road	271	1933; 1936; 1938; 1946; 1950; 1971		
Cae Perllan Road	384	1936; 1938; 1946; 1950; 1971		
Cae Perllanm Road	1	1950		
Caerau	11	1876		
Caerau Crescent	577	1887; 1890; 1893; 1894; 1897; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Caerau Park	8	1878; 1886		
Caerau Road	1400	1878; 1886; 1893; 1894; 1897; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Caerleion Road	14	1899		
Caerleon Chambers	3522	1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950		
Caerleon Road	1324	1878; 1893; 1894; 1898; 1899; 1902; 1903; 1927; 1936	Caerleon Road	
Caerleon Road (307)	3	1910		
Caerleon-road	175	1910		
Caldicot Street	166	1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Call Office	48	1927		Investigate
Calne Place	506	1887; 1890; 1893; 1894; 1898; 1899; 1903; 1910; 1933		
Cambria	34	1890		
Cambria cottages	30	1886; 1933		
Cambria Place	136	1887; 1898; 1899; 1903; 1905; 1933; 1936		
Cambria Road	15	1898; 1899		
Cambrian Road	331	1897; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Cambridge Avenue	24	1902; 1903; 1905		
Cambridge Road	87	1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Cambridge Road. 8	6	1910		
Camelot Place	101	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Camperdown Road	68	1936; 1938; 1946; 1950; 1971		
Camperdown Street	11	1899; 1936	Camperdown Street	
Can	115	1910		
Canal Bank	29	1910; 1933; 1936; 1971		
Canal Bank Cottages	18	1938; 1946; 1950		
Canal Bank Cotts	29	1971		
Canal Parade	720	1876; 1878; 1893; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Canal Street	298	1878; 1886; 1893; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Canal Terrace	267	1876; 1878; 1893; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Canal-terrace	19	1910		
Canberra Crescent	25	1971	Canberra Crescent	
Canning Street	139	1903		
Cannon Street	30	1878		
Canon Street	312	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Capel Crescent	930	1897; 1902; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Capel Street	741	1876; 1878; 1886; 1897; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Capel-crescent	38	1910		
Capet Street	143	1971		
Cardiff Road	2278	1876; 1878; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Cardigan Place	69	1933; 1936; 1938; 1946; 1950; 1971		
Carey Road	27	1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Carisbrook Road	36	1910		
Carisbrooke Road	263	1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Carleon-road	44	1910		
