Street Name,Record Count,Years,Amendment,Notes
Belvedere Terrace,223,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BELVEDERE TERRACE,43,1878; 1936,Belvedere Terrace,Auto-casing match
BELVEDERE TERRACE B 4,31,1927,,
Belvidere Terrace,10,1886,,
Ben Jonson Way,8,1950,,
BEREFORD ROAD. C 4,6,1927,,
Beresford Road,42,1905; 1914; 1933; 1938; 1946; 1950,,
BERESFORD ROAD,8,1936,Beresford Road,Auto-casing match
Bettws Lane,13,1938; 1946; 1950,,
Bilston Street,36,1905; 1914; 1933; 1938; 1946; 1950,,
BILSTON STREET,4,1936,Bilston Street,Auto-casing match
BILSTON STREET. E 3,4,1927,,
Bishop Street,227,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BISHOP STREET,144,1878; 1927; 1936,Bishop Street,Auto-casing match
Bishopgate Parade,26,1876; 1886; 1897; 1905; 1914,,
BISHOPGATE PARADE,1,1878,Bishopgate Parade,Auto-casing match
BISHOPSGATE PARADE,6,1927,,
Bishopstow,3,1946,,
Bishpool,155,1950,,
Bishpool Lane,132,1950,,
Bishton Street,447,1905; 1914; 1933; 1938; 1946; 1950,,
BISHTON STREET,147,1927; 1936,Bishton Street,Auto-casing match
Blackett Avenue,20,1950,,
Blaen-Y-Pant Avenue,51,1938; 1946; 1950,,
BLAEN-Y-PANT AVENUE,12,1936,Blaen-Y-Pant Avenue,Auto-casing match
Blaen-Y-Pant Cottages,2,1938,,
BLAEN-Y-PANT COTTAGES,3,1936,Blaen-Y-Pant Cottages,Auto-casing match
Blaen-Y-Pant Crescent,35,1938; 1946; 1950,,
Blaen-Y-Pant Place,37,1938; 1946; 1950,,
Blake Road,33,1938; 1946; 1950,,
Blenheim Road,146,1914; 1933; 1938; 1946; 1950,,
BLENHEIM ROAD,65,1927; 1936,Blenheim Road,Auto-casing match
Blewitt Street,598,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BLEWITT STREET,103,1878; 1927; 1936,Blewitt Street,Auto-casing match
Blewitt Terrace,16,1876; 1886,,
BLEWITT TERRACE,6,1878,Blewitt Terrace,Auto-casing match
Bolt Street,344,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BOLT STREET,69,1878; 1936,Bolt Street,Auto-casing match
BOLT STREET SCHOOLS,25,1927,,
Bolton Place,3,1876,,
Bolton Road,154,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BOLTON ROAD,40,1936,Bolton Road,Auto-casing match
Bolton Street,15,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BOLTON STREET,26,1936,Bolton Street,Auto-casing match
Bolton Terrace,6,1933,,
BOLTON TERRACE,10,1878,Bolton Terrace,Auto-casing match
Bond Street,198,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BOND STREET. C 4,9,1927,,
Borough Chambers,4,1905; 1933; 1938; 1946,,
Boundary Road,7,1897,,
Boyle Close,6,1950,,
Bream Place,133,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BREAM PLACE,30,1927; 1936,Bream Place,Auto-casing match
Brecon Road,43,1933; 1938; 1946; 1950,,
BRECON ROAD,24,1927; 1936,Brecon Road,Auto-casing match
