Street Name	Record Count	Years	Amendment	Notes
Beaufort Chambers	1	1905		
Beaufort Place	117	1938; 1946; 1950; 1971		
Beaufort Road	134	1936; 1938; 1946; 1950; 1971		
Beaufort Terrace	326	1887; 1893; 1894; 1898; 1933; 1936; 1971		
Beaufort Wharf	11	1876		
Bedford Road	583	1897; 1898; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Beecham Street	15	1946; 1950; 1971		
Beechcroft Road	222	1936; 1938; 1946; 1950; 1971		
Beechdale Road	260	1933; 1936; 1938; 1946; 1950; 1971		
Beechfield Av	35	1971		
Beechfield Avenue	44	1946; 1950		
Beechwood Crescent	166	1933; 1936; 1938; 1946; 1950		
Beechwood Park	63	1927	Beechwood Park	
Beechwood Road	270	1894; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Belgave Place	456	1890; 1893; 1894; 1898		
Belle Vue Lane	8	1886; 1898; 1902; 1927; 1971		
Belle Vue Terrace	101	1890; 1893; 1894; 1899; 1902; 1903; 1933		
Belvedere Terrace	603	1876; 1878; 1890; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Belvidere Terrace	10	1886		
Ben Jonson Way	18	1950; 1971		
Benbow Road	24	1971	Benbow Road	
Bereford Road	6	1927		
Beresford Road	65	1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bessemer Close	57	1971	Bessemer Close	
Bettws Close	15	1971	Bettws Close	
Bettws Hill	16	1971	Bettws Hill	
Bettws Lane	19	1938; 1946; 1950; 1971		
Bilston Street	192	1899; 1902; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Bilton Street	38	1903		
Birch Hill	40	1971	Birch Hill	
Birchgrove Close	20	1971	Birchgrove Close	
Bisbool Lane	51	1971		
Bishop	1	1927		
Bishop Street	711	1878; 1890; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Bishopgate Parade	155	1876; 1878; 1886; 1890; 1893; 1894; 1897; 1899; 1903; 1905; 1914		
Bishopsgate Parade	132	1898; 1902; 1927		
Bishopstow	3	1946		
Bishpool	155	1950		
Bishpool Lane	132	1950		
Bishton Street	904	1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Blackett Avenue	242	1950; 1971		
Blaen-y-pant Avenue	65	1936; 1938; 1946; 1950		
Blaen-Y-Pant Cottages	2	1938		
Blaen-Y-Pant Crescent	35	1938; 1946; 1950		
Blaen-Y-Pant Place	37	1938; 1946; 1950		
Blake Road	52	1938; 1946; 1950; 1971		
Blake Street	80	1902		
Bleinheim Road	47	1971		
Blenheim Road	211	1914; 1927; 1933; 1936; 1938; 1946; 1950		
Blewit Street	46	1894		
Blewitt Street	973	1876; 1878; 1890; 1893; 1894; 1897; 1899; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Blewitt Terrace	290	1876; 1878; 1886; 1893; 1894; 1898; 1899; 1902		
Bolt Street	465	1876; 1878; 1897; 1898; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bolt Street Schools	25	1927		
Bolton Place	3	1876		
Bolton Road	335	1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bolton Street	55	1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bolton Terrace	37	1878; 1893; 1894; 1933		
Bond Street	361	1894; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1938; 1946; 1950; 1971		
Borough Chambers	4	1905; 1933; 1938; 1946		
Boswell Close	14	1971	Boswell Close	
Boundary Road	7	1897		
Boyle Close	13	1950; 1971		
Brain Close	30	1971		Investigate
Brangwyn Crescent	52	1971	Brangwyn Crescent	
Bream Place	251	1886; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Brecon Road	79	1927; 1933; 1936; 1938; 1946; 1950; 1971		
Brickyard Road	301	1894; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Bridge (The)	3	1876		
Bridge Street	2154	1876; 1878; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Bristol Street	685	1886; 1897; 1898; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Britannia Buildings	2	1886; 1933		
Broad Street	103	1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Broadwood Close	28	1971	Broadwood Close	
Brodawel Gardens	202	1890; 1893; 1894; 1898; 1899		
Brodawell Gardens	112	1898; 1899; 1903		
Bronte Grove	21	1971	Bronte Grove	
Brookfield Close	29	1971	Brookfield Close	
Broseley Terrace	141	1886; 1890; 1893; 1894		
Brown's Buildings	10	1933		
Browning Close	21	1971	Browning Close	
Brunel Street	127	1914; 1933; 1936; 1938; 1946; 1950; 1971		
Brunel Street. B 4 36	20	1927		
Brunswick Place	1	1946		
Bryinglas Avenue	14	1927		
Bryinglas Crescent	16	1927		
Bryinglas Road	50	1927		
Brynderwen Gro	17	1971		
Brynderwen Grove	26	1938; 1946; 1950		
Brynderwen Road	322	1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Brynderwyn Road	12	1897		Did the spelling change?
Bryngjas Road	19	1898		
Brynglas Avenue	369	1933; 1936; 1938; 1946; 1950; 1971		
Brynglas Close	71	1971		
Brynglas Crescent	164	1902; 1903; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Brynglas Drive	198	1971	Brynglas Drive	
Brynglas Orescent	9	1905		
Brynglas Road	1096	1897; 1899; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bryngwyn Road	639	1893; 1897; 1899; 1902; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Brynhfryd Av	31	1971		
Brynhfryd Avenue	28	1927		
Brynhfryd Road	6	1927		
Brynhyfryd Avenue	141	1933; 1936; 1938; 1946; 1950		
